digrp_pavadinimas,data2,dinst_id4,apskritis1,savivaldybe,data1,dinst_id5
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,22
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,4
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,-
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,23
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,1
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2004-09-01,-
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2005-09-01,-
