digrp_pavadinimas,data2,dinst_id4,apskritis1,savivaldybe,data1,dinst_id5
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Joniškio r. sav.,2015-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2015-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2015-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Joniškio r. sav.,2015-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Joniškio r. sav.,2015-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,12
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,5
Kitas švietimo teikėjas,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,3
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Joniškio r. sav.,2016-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,12
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,5
Kitas švietimo teikėjas,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,3
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Joniškio r. sav.,2017-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,22
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,4
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2003-09-01,-
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,42
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,6
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2004-09-01,-
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,43
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,6
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2005-09-01,-
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,30
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,5
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2006-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,28
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,5
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2007-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,27
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,5
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2008-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,26
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,5
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2009-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,26
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,5
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2010-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,22
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,5
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2011-09-01,2
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,25
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,2
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2012-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,19
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,4
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2013-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,17
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,4
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,1
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2014-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,18
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,4
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,1
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,2
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2015-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,18
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,4
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,6
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,3
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2016-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,18
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,4
Kitas švietimo teikėjas,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,6
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,3
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Kelmės r. sav.,2017-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,24
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,7
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2003-09-01,-
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,29
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,8
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2004-09-01,-
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,26
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,8
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2005-09-01,-
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,20
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,9
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2006-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,19
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,10
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2007-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,17
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,10
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2008-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,17
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,10
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2009-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,14
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,-
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,10
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2010-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,-
Bendrojo ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,14
Ikimokyklinio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,9
Kitas švietimo teikėjas,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,-
Kompetencijų vertinimo institucija,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,-
Mokslinių tyrimų institutas,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,1
Profesinio mokymo įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,1
Švietimo pagalbos įstaiga,,,Šiaulių apskr.,Pakruojo r. sav.,2011-09-01,1
Aukštoji mokykla,,,Šiaulių apskr.,Pakruojo r. sav.,2012-09-01,-
